PlayerName,pos,points,marg,value
Derrick Henry,rb,227.70000000000002,93.45000000000002,99.27180148173031
Christian McCaffrey,rb,224.435,90.185,95.83833511642425
Lamar Jackson,qb,355.30400000000003,83.26200000000006,88.55812450478152
Ezekiel Elliott,rb,217.22,82.97,88.25105798757798
Saquon Barkley,rb,215.87,81.62,86.8314011443427
Patrick Mahomes,qb,342.16200000000003,70.12000000000006,74.7380280353016
Dalvin Cook,rb,204.00000000000003,69.75000000000003,74.34893690048892
Nick Chubb,rb,192.31500000000003,58.065000000000026,62.06101822404143
Josh Jacobs,rb,186.47000000000003,52.22000000000003,55.914429891663545
Michael Thomas,wr,126.89500000000001,51.94500000000001,55.62524053470819
Joe Mixon,rb,183.68,49.43000000000001,52.980472415643966
Alvin Kamara,rb,182.79000000000002,48.54000000000002,52.04455049677036
Davante Adams,wr,121.66499999999999,46.71499999999999,50.12538476424857
Travis Kelce,te,104.01,45.71,49.06852911428455
Clyde Edwards-Helaire,rb,179.715,45.465,48.8108876871789
Aaron Jones,rb,178.41000000000003,44.160000000000025,47.43855273871816
Miles Sanders,rb,177.39000000000001,43.140000000000015,46.365923123829276
Tyreek Hill,wr,117.10000000000001,42.150000000000006,45.32484143879007
Dak Prescott,qb,313.626,41.584,44.72963716229291
Deshaun Watson,qb,312.51,40.46800000000002,43.5560541718851
Kenyan Drake,rb,171.235,36.985000000000014,39.8933395163381
Chris Carson,rb,169.675,35.42500000000001,38.25284716415513
Julio Jones,wr,109.745,34.795,37.59034063731199
George Kittle,te,91.905,33.605,36.33893941994164
Russell Wilson,qb,304.42,32.37800000000004,35.04862908909007
Chris Godwin,wr,106.72,31.769999999999996,34.409257710803324
Mike Evans,wr,104.67,29.72,32.253482504409035
DeAndre Hopkins,wr,104.475,29.52499999999999,32.04842096038615
Kenny Golladay,wr,104.35000000000001,29.400000000000006,31.916971252679193
Mark Andrews,te,86.185,27.884999999999998,30.32380079527072
Todd Gurley,rb,158.715,24.465000000000003,26.727336792408046
Zach Ertz,te,82.115,23.81499999999999,26.04379831233179
Adam Thielen,wr,98.445,23.49499999999999,25.70728706060195
A.J. Brown,wr,98.03,23.08,25.270874031014817
Kyler Murray,qb,295.082,23.04000000000002,25.228810124548612
Calvin Ridley,wr,97.36,22.409999999999997,24.56630359770546
Amari Cooper,wr,97.03,22.08,24.21927636935906
Robert Woods,wr,96.505,21.554999999999993,23.667187596989788
Cooper Kupp,wr,96.36000000000001,21.41000000000001,23.514705936049722
Harrison Butker,k,158,20.400000000000006,22.452592297777404
Wil Lutz,k,157.2,19.599999999999994,21.61131416845279
D.J. Moore,wr,94.375,19.424999999999997,21.427284577663034
James Conner,rb,153.09,18.840000000000003,20.812099945594422
Josh Allen,qb,290.776,18.734000000000037,20.70063059345895
Tyler Lockett,wr,93.205,18.254999999999995,20.1969153135258
David Johnson,rb,152.46,18.210000000000008,20.1495934187513
Odell Beckham Jr.,wr,92.72,17.769999999999996,19.68689044762276
Allen Robinson,wr,92.105,17.155,19.040157885704474
Austin Ekeler,rb,149.695,15.444999999999993,17.241925884273126
Justin Tucker,k,152.8,15.200000000000017,16.98428445716749
Keenan Allen,wr,89.96500000000002,15.015000000000015,16.789738889761175
Courtland Sutton,wr,89.555,14.605000000000004,16.358583848482304
Matt Ryan,qb,286.482,14.440000000000055,16.18507023430916
JuJu Smith-Schuster,wr,89.075,14.125,15.853816970887536
D.K. Metcalf,wr,88.80000000000001,13.850000000000009,15.564627613932213
DeVante Parker,wr,88.635,13.685000000000002,15.391113999759007
Stefon Diggs,wr,88.05000000000001,13.100000000000009,14.775929367690397
Darren Waller,te,71.28,12.979999999999997,14.649737648291692
Marquise Brown,wr,87.75500000000001,12.805000000000007,14.465708057501947
Terry McLaurin,wr,87.53999999999999,12.58999999999999,14.239614560245942
Melvin Gordon,rb,145.285,11.034999999999997,12.60438019637125
T.Y. Hilton,wr,85.92500000000001,10.975000000000009,12.541284336671918
Michael Gallup,wr,85.375,10.424999999999997,11.962905622761241
Robbie Gould,k,148,10.400000000000006,11.936615681219855
Jarvis Landry,wr,84.08,9.129999999999995,10.601086650917036
Evan Engram,te,66.655,8.354999999999997,9.786098463133827
Greg Zuerlein,k,145.9,8.300000000000011,9.728260591742776
Jared Cook,te,65.92,7.6199999999999974,9.013174181816849
A.J. Green,wr,82.385,7.435000000000002,8.818628614410539
Jonathan Taylor,rb,141.15,6.900000000000006,8.256023865424714
D.J. Chark,wr,81.755,6.804999999999993,8.156122087567404
Marvin Jones,wr,81.63000000000001,6.680000000000007,8.02467237986045
Tom Brady,qb,278.35200000000003,6.310000000000059,7.635581245047875
Hunter Henry,te,64.515,6.214999999999996,7.535679467190512
Drew Brees,qb,275.73,3.688000000000045,4.878292176186471
Julian Edelman,wr,78.60000000000001,3.6500000000000057,4.838331465043511
Tyler Higbee,te,61.815000000000005,3.5150000000000006,4.696365780719979
Jason Myers,k,140.6,3,4.154792984967264
Matt Prater,k,140.1,2.5,3.628994154139387
Le'Veon Bell,rb,136.695,2.444999999999993,3.5711562827483134
Tyler Boyd,wr,77.315,2.364999999999995,3.4870284698158547
Rob Gronkowski,te,60.06,1.759999999999998,2.850811884514126
Aaron Rodgers,qb,273.52,1.4780000000000086,2.5542613439272146
Ronald Jones II,rb,135.625,1.375,2.445946784776663
Austin Seibert,k,138.9,1.3000000000000114,2.3670769601524935
Mark Ingram II,rb,135.37,1.1200000000000045,2.17778938105445
Jamison Crowder,wr,75.645,0.6949999999999932,1.7308603748507423
Dan Bailey,k,138.2,0.5999999999999943,1.6309585969934468
Younghoe Koo,k,138.2,0.5999999999999943,1.6309585969934468
Hayden Hurst,te,58.46000000000001,0.1600000000000037,1.1682556258649246
Jake Elliott,k,137.7,0.09999999999999432,1.1051597661655694
Carson Wentz,qb,272.042,0,1
Chris Boswell,k,137.6,0,1
Raheem Mostert,rb,134.25,0,1
Deebo Samuel,wr,74.95,0,1
Noah Fant,te,58.300000000000004,0,1
